Demand,Inventory,Workers,Working_Hours,Raw_Material,Production
1844,487,36,7.9,1159,2233.0
755,354,27,9.2,826,1301.0
777,262,21,9.8,2448,1625.0
558,420,11,7.3,1731,1184.0
516,289,35,10.3,2070,1464.0
807,312,32,6.3,505,1223.0
1157,213,23,8.1,2240,1832.0
1711,359,47,9.2,2150,2488.0
1378,345,50,11.0,1688,2230.0
1938,186,60,10.6,1643,2638.0
1355,443,35,9.8,2480,2206.0
820,250,72,8.4,2049,1948.0
1303,219,16,11.7,1577,1866.0
1958,84,75,6.7,1938,2700.0
879,367,50,11.6,1087,1753.0
959,330,46,9.8,1187,1748.0
1613,346,69,10.3,1179,2427.0
1973,374,46,8.6,1713,2546.0
1891,249,39,9.1,1723,2430.0
1343,406,52,9.7,948,2021.0
1206,60,37,8.3,1100,1728.0
727,143,65,10.0,1757,1775.0
632,351,27,6.6,1672,1318.0
1304,452,54,9.2,1920,2178.0
740,444,50,6.6,1508,1556.0
1385,282,66,8.6,1785,2275.0
1228,330,13,11.8,2036,1890.0
1187,128,54,6.8,2329,2084.0
532,346,56,11.4,673,1426.0
1214,124,60,8.0,1968,2067.0
816,123,36,8.4,902,1406.0
1380,429,18,8.1,809,1695.0
573,482,45,11.2,1327,1552.0
804,425,15,7.6,1160,1277.0
1900,128,67,8.7,602,2389.0
1040,63,38,10.3,2296,1900.0
573,249,45,6.2,535,1195.0
635,183,66,8.7,1677,1697.0
1329,120,15,9.7,1651,1817.0
584,315,38,6.4,1776,1390.0
803,487,62,11.1,1677,1926.0
681,76,76,7.8,1128,1623.0
1783,329,59,11.6,2171,2695.0
1430,56,11,8.2,2321,1903.0
669,243,10,10.1,2453,1462.0
991,450,19,10.6,1732,1707.0
1421,328,22,10.3,2329,2087.0
913,83,74,6.9,973,1709.0
996,482,13,8.4,2079,1641.0
618,298,32,11.5,866,1344.0
910,416,20,7.8,1614,1483.0
1193,151,70,12.0,2340,2336.0
732,82,13,10.9,2169,1505.0
1198,86,73,11.4,1350,2200.0
1531,84,28,8.8,1255,1949.0
1623,247,75,10.7,1953,2603.0
1130,203,63,7.0,1556,1956.0
1319,472,52,7.4,2266,2165.0
1430,145,24,11.4,661,1842.0
930,115,20,10.0,1035,1411.0
1630,352,13,10.5,1130,2013.0
552,232,65,12.0,1153,1633.0
1670,72,62,11.2,755,2302.0
1291,302,47,8.6,1253,1914.0
887,50,77,8.6,806,1731.0
1292,80,33,9.9,2230,2031.0
1831,400,64,10.4,1500,2603.0
1786,143,32,9.7,1351,2253.0
1905,184,12,7.2,2122,2224.0
1184,174,25,8.2,1142,1646.0
1867,265,66,11.4,565,2512.0
1816,248,79,7.2,1512,2605.0
1353,378,49,10.5,2367,2300.0
1026,411,73,11.1,2303,2290.0
1607,91,69,10.6,1892,2516.0
1609,387,32,7.1,917,1947.0
1564,417,74,7.9,1488,2390.0
1991,100,60,11.7,1710,2717.0
1394,304,20,7.9,1852,1892.0
713,261,24,11.5,775,1348.0
1061,437,12,10.6,534,1445.0
698,485,23,11.7,2097,1593.0
1156,303,65,8.4,605,1869.0
772,486,39,9.1,1869,1656.0
1632,395,63,6.2,1967,2415.0
1075,207,35,6.9,918,1516.0
1905,427,25,9.5,1495,2355.0
912,94,47,6.2,1172,1519.0
1967,147,16,6.2,1409,2148.0
1299,257,10,7.2,1915,1758.0
1221,315,34,8.5,975,1709.0
999,95,71,6.9,2115,2040.0
1529,99,60,9.2,2329,2398.0
1204,164,39,6.3,973,1630.0
1186,470,65,8.1,1575,2069.0
864,93,18,8.1,705,1224.0
755,207,79,7.9,1236,1790.0
671,176,26,7.7,1470,1327.0
1611,154,75,8.8,655,2252.0
1224,297,20,6.8,715,1504.0
841,293,72,9.4,1516,1897.0
1804,229,75,9.9,755,2493.0
1680,68,11,9.7,2450,2180.0
651,208,55,8.2,2018,1668.0
664,275,19,8.5,1900,1365.0
1103,412,35,11.6,1461,1862.0
1798,382,15,9.9,780,2030.0
781,133,11,8.3,1522,1292.0
1291,181,79,8.3,1022,2124.0
1948,227,33,6.8,2204,2457.0
1135,156,36,11.2,1158,1787.0
972,378,50,11.4,919,1758.0
1724,309,50,9.3,1714,2380.0
957,446,12,10.4,768,1364.0
1967,154,78,10.8,936,2669.0
1187,143,64,11.5,1671,2159.0
697,82,41,9.0,1503,1486.0
912,365,31,11.6,1762,1748.0
969,80,28,10.9,2014,1770.0
1118,148,57,6.7,1117,1776.0
908,114,79,9.1,1337,1924.0
1610,259,43,10.9,2492,2446.0
780,339,36,12.0,1742,1701.0
551,294,59,8.0,2216,1689.0
1054,303,33,7.4,796,1545.0
1302,157,19,9.8,2121,1925.0
1008,303,62,6.2,532,1618.0
1232,223,67,6.4,709,1831.0
1879,469,19,10.5,683,2136.0
1605,131,41,11.2,937,2131.0
1960,469,29,11.1,1617,2461.0
1363,277,61,9.2,2058,2287.0
533,329,11,11.4,1470,1241.0
1103,174,10,11.8,1125,1571.0
1160,292,64,9.7,817,1921.0
1705,175,76,10.0,845,2418.0
505,296,76,11.4,1860,1813.0
516,219,36,10.7,1082,1298.0
855,139,71,11.3,522,1710.0
800,426,56,9.6,800,1590.0
867,203,46,8.0,736,1476.0
1547,54,37,8.4,1752,2088.0
1685,314,29,7.4,588,1908.0
1686,91,33,6.1,2184,2163.0
1091,127,48,6.1,1768,1800.0
701,309,61,11.0,1573,1794.0
1749,417,49,8.0,1727,2403.0
546,387,78,9.7,1084,1698.0
1253,408,14,9.4,2195,1853.0
1447,71,60,8.5,2480,2357.0
1886,460,72,7.7,2232,2785.0
829,465,31,8.6,822,1412.0
1601,493,13,8.9,868,1853.0
1200,253,13,11.2,1550,1748.0
1902,495,50,7.5,1999,2555.0
1265,122,58,6.5,1431,1931.0
1746,81,46,11.9,2268,2586.0
1892,413,25,8.8,1345,2263.0
1424,225,36,10.4,1084,1932.0
1185,244,30,6.2,1637,1712.0
740,342,69,10.0,2386,1984.0
684,83,71,6.4,785,1491.0
762,100,29,8.3,1480,1389.0
1107,251,58,9.0,1240,1921.0
658,307,32,8.2,1993,1478.0
1851,78,45,7.9,2090,2474.0
1900,162,70,11.5,1161,2650.0
1678,79,17,7.6,1680,1982.0
748,329,72,7.3,2405,1943.0
907,389,17,11.9,2275,1755.0
1397,182,22,8.5,590,1664.0
1823,77,78,9.7,1900,2718.0
616,290,22,11.5,2022,1498.0
1693,279,62,10.3,729,2322.0
981,455,15,8.5,796,1392.0
1274,245,67,11.3,1343,2177.0
1395,220,22,10.7,868,1777.0
543,383,66,11.3,2015,1790.0
580,390,19,10.7,1683,1325.0
607,344,44,10.9,569,1360.0
1941,110,39,11.6,1055,2360.0
1165,400,57,7.4,502,1758.0
1675,109,49,9.0,2396,2466.0
1180,96,76,8.7,536,1929.0
1552,322,49,7.5,1645,2212.0
727,276,54,9.2,2419,1832.0
1366,198,54,8.5,613,1947.0
1043,145,78,10.6,1296,2054.0
1427,372,13,7.9,1374,1784.0
724,70,48,10.2,2326,1764.0
1767,110,51,10.2,2211,2572.0
1679,313,53,6.3,1693,2285.0
1318,361,48,7.0,2429,2140.0
1412,139,74,7.7,514,2073.0
816,404,46,10.4,1800,1759.0
1830,202,42,11.4,1533,2433.0
1402,335,29,11.1,728,1890.0
1563,469,49,8.3,1552,2230.0
952,95,58,7.3,1429,1711.0
1021,265,72,11.1,847,1949.0
1944,281,37,9.8,1707,2494.0
1201,339,48,7.9,985,1829.0
1594,112,27,6.6,2447,2140.0
664,314,70,9.2,1092,1653.0
752,82,70,10.5,2055,1896.0
754,376,45,11.8,2122,1830.0
1418,453,35,9.5,1170,1933.0
1876,80,76,8.4,1878,2717.0
1864,52,34,6.5,2306,2360.0
1119,416,50,9.5,640,1757.0
656,434,27,7.8,1922,1410.0
1290,321,53,8.8,873,1952.0
1031,475,34,9.4,998,1646.0
1983,273,75,11.3,1152,2749.0
1146,301,60,11.9,1187,1978.0
715,89,42,10.0,674,1365.0
684,279,24,10.8,922,1333.0
725,242,11,6.1,1817,1309.0
1538,223,34,7.9,886,1917.0
1624,249,69,9.5,2321,2641.0
1017,366,67,6.9,1712,1920.0
629,365,38,10.8,1624,1528.0
1070,167,14,9.4,1117,1487.0
1684,241,71,11.7,2097,2671.0
1958,307,12,11.8,2406,2522.0
566,98,32,10.7,1404,1392.0
1691,338,74,6.6,1027,2357.0
1578,176,78,6.8,1541,2385.0
1616,397,29,6.0,838,1865.0
1001,380,27,10.6,822,1568.0
1504,410,42,6.7,2388,2265.0
1892,216,67,8.1,1854,2609.0
1026,183,31,7.3,803,1460.0
1921,128,49,8.4,1051,2373.0
1532,456,43,11.4,722,2119.0
1998,188,71,11.3,674,2624.0
1605,104,48,10.1,2115,2374.0
1180,148,44,8.9,988,1782.0
1445,56,26,10.5,655,1822.0
586,108,60,10.3,1484,1605.0
1284,348,69,11.3,1703,2275.0
610,105,77,10.2,1546,1759.0
1749,94,52,6.7,2328,2441.0
1577,423,15,8.9,627,1806.0
525,151,77,11.8,2196,1921.0
1123,130,54,7.1,843,1722.0
1485,285,15,10.4,970,1854.0
1325,189,51,7.8,1612,2055.0
1345,179,50,6.9,1604,1998.0
1193,310,51,11.7,840,1898.0
1789,242,62,8.8,2415,2677.0
1639,157,31,6.3,1487,2006.0
1782,297,64,7.9,2458,2672.0
993,446,56,11.2,604,1767.0
1316,281,36,7.2,1534,1891.0
1473,288,29,6.3,2139,2027.0
537,415,31,7.0,1385,1237.0
965,146,45,9.9,620,1603.0
1367,307,60,11.9,592,2081.0
1625,472,12,6.8,2305,2091.0
1134,263,58,6.7,1556,1881.0
1600,368,15,7.6,728,1781.0
1599,459,74,6.8,796,2271.0
974,422,43,11.1,500,1636.0
1673,337,50,10.6,1325,2344.0
566,349,74,10.9,2285,1921.0
1619,125,42,8.7,978,2057.0
1172,256,27,11.8,1465,1850.0
1567,76,28,10.7,1009,1986.0
1517,259,11,11.7,587,1773.0
766,163,69,7.0,1567,1701.0
803,187,65,10.5,682,1652.0
1531,157,73,11.2,918,2341.0
911,222,13,7.7,1718,1428.0
1725,385,31,6.5,2138,2261.0
1532,297,72,8.7,2455,2550.0
1733,272,72,10.8,1720,2626.0
1692,115,21,9.0,1590,2103.0
633,267,71,11.2,879,1652.0
1125,261,14,11.4,638,1489.0
1944,479,27,9.2,549,2166.0
597,211,51,6.1,744,1239.0
1679,109,45,10.6,2180,2446.0
1791,396,67,10.1,1766,2642.0
1564,92,39,7.1,969,1990.0
1166,112,69,11.0,1409,2119.0
1444,484,78,7.7,626,2154.0
821,116,57,10.8,826,1639.0
1040,53,43,8.7,1102,1666.0
1870,487,15,9.8,514,2046.0
1495,419,11,6.2,730,1635.0
1580,310,79,6.8,890,2303.0
1896,266,77,7.5,1154,2595.0
1143,303,54,10.4,920,1908.0
513,348,56,8.6,1792,1548.0
1547,296,64,9.2,1522,2354.0
1238,212,61,7.9,1065,1895.0
1638,484,79,8.6,667,2397.0
1827,142,22,9.8,1782,2248.0
719,292,21,7.1,1832,1359.0
